APT,Aliases,Alleged Location,Allegiance/Affiliation,Targeted Sectors,TARGETED COUNTRIES,TOOL,INFO,REFERENCE
Gorgon Group,Subaat,PAKISTAN,State-sponsored,government & defense,"UNITED KINGDOM,SPAIN,RUSSIA,UNITED STATES","crimson, lokibot, nanocore rat, njrat, quasarrat, remcos, revenge rat","Gorgon Group is a threat group consisting of members who are suspected to be Pakistan-based or have other connections to Pakistan. The group has performed a mix of criminal and targeted attacks, including campaigns against government organizations in the United Kingdom, Spain, Russia, and the United States.",https://unit42.paloaltonetworks.com/unit42-tracking-subaat-targeted-phishing-attacks-point-leader-threat-actors-repository/
Group5,,IRAN,State-sponsored,government & defense,SYRIA,"droidjack, nanocore rat, njrat","A threat actor using Iranian-language tools, Iranian hosting companies, operating from the Iranian IP space at times was observed targeting the Syrian opposition in an elaborately staged malware operation, Citizen Lab researchers reveal. The operation was first noticed in late 2015, when a member of the Syrian opposition flagged a suspicious email containing a PowerPoint slideshow, which led researchers to a watering hole website with malicious programs, malicious PowerPoint files, and Android malware. The threat actor was targeting Windows and Android devices of well-connected individuals in the Syrian opposition, researchers discovered. They called the actor Group5, because it targets Syrian opposition after regime-linked malware groups, the Syrian Electronic Army, ISIS (also known as the Islamic State or ISIL), and a group linked to Lebanon did the same in the past.",https://www.securityweek.com/iranian-actor-group5-targeting-syrian-opposition
Honeybee,,UNKNOWN,,ngo/npo & think tanks,"SOUTH KOREA, ARGENTINA, CANADA, INDONESIA, JAPAN, SINGAPORE,VIETNAM","syscon, systeminfo, tasklist","McAfee Advanced Threat Research analysts have discovered a new operation targeting humanitarian aid organizations and using North Korean political topics as bait to lure victims into opening malicious Microsoft Word documents. Our analysts have named this Operation Honeybee, based on the names of the malicious documents used in the attacks. Advanced Threat Research analysts have also discovered malicious documents authored by the same actor that indicate a tactical shift. These documents do not contain the typical lures by this actor, instead using Word compatibility messages to entice victims into opening them. The Advanced Threat Research team also observed a heavy concentration of the implant in Vietnam from January 15–17.",https://securingtomorrow.mcafee.com/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/
Ke3chang,"APT15, Mirage, Vixen Panda, GREF, Playful Dragon, RoyalAPT",CHINA, Xi’an Tian He Defense Technology Co,"aviation & aerospace, chemical & petrochemicals, diplomatic/embassies, energy, government & defense, high technology, manufacturing, mining,oil & gas, utilities","INDIA,UNITED KINGDOM, ITALY, POLAND","cobalt strike, metushy, mimikatz, miragefox, ms exchange tool, royal dns, royalcli, spwebmember, systeminfo, tasklist, tidepool, winnti","Ke3chang is a threat group attributed to actors operating out of China. Ke3chang has targeted several industries, including oil, government, military, and more.",https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-ke3chang.pdf
Kimsuky,Velvet Chollima,North Korea,,government & defense,SOUTH KOREA,"grease, kportscan, mailpassview, mechanical, mimikatz, network password recovery, procdump, psexec, remote desktop passview, sniffpass, webbrowserpassview","For several months, we have been monitoring an ongoing cyberespionage campaign against South Korean think-tanks. There are multiple reasons why this campaign is extraordinary in its execution and logistics. It all started one day when we encountered a somewhat unsophisticated spy program that communicated with its “master” via a public e-mail server. This approach is rather inherent to many amateur virus-writers and these malware attacks are mostly ignored.",https://securelist.com/the-kimsuky-operation-a-north-korean-apt/57915/
Lazarus Group,"HIDDEN COBRA, Guardians of Peace, ZINC, NICKEL ACADEMY,Labyrinth Chollima,Group 77, Hastati Group, Whois Hacking Team, NewRomanic Cyber Army Team, APT-C-26",North Korea,Bureau/Unit 211,"engineering, financial institutions, government & defense, it & electronics, cryptocurrency exchanges","AUSTRALIA, BANGLADESH, BRAZIL, CANADA, CHILE, CHINA, ECUADOR, FRANCE,GERMANY, GUATEMALA, HONG KONG, INDIA, ISRAEL, JAPAN, MEXICO, PHILIPPINES,POLAND, SOUTH KOREA, TAIWAN, THAILAND, UNITED KINGDOM, UNITED STATES, VIETNAM","auditcred, alphanc, alreay, applejeus, appleworm, badcall, bankshot, banswift, bitsran, brambul, bravonc, castov, contopee, deltanc, destover, dozer, doublepulsar, duuzer, electricfish, eternalblue, fallchill rat, fastcash, fimlis, gh0st rat, hardrain, hawup, hermes, hoplight, htdndownloader, joanap, jokra, keymarble, killdisk, koredos, lazarus, manuscrypt, mimikatz, mydoom, mytob, nukesped, phandoor, powerratankba, powerspritz, proxysvc, ratabankapos, rawdisk, rifdoor, rising sun, romeonc, sharpknot, sheeprat, sierranc, tdrop, tdrop2, troy, typeframe, volgmer, wannacry, wolfrat, yort","scale breach of Sony Pictures was attributed to Lazarus. The attack was notable due to its substantial penetration across Sony networks, the extensive amount of data exfiltrated and leaked, as well of use of a wiper in a possible attempt to erase forensic evidence. Attribution on the attacks was largely hazy, but the FBI released a statement tying the Sony breach to the earlier DarkSeoul attack, and officially attributed both incidents to North Korea. Fast forward to May 2017 with the widespread outbreak of WannaCry, a piece of ransomware that used an SMB exploit as an attack vector. Attribution to North Korea rested largely on code reuse between WannaCry and previous North Korean attacks, but this was considered to be thin grounds given the common practice of tool sharing between regional threat groups. Western intelligence agencies released official statements to the public reaffirming the attribution, and on September 6, 2018, the US Department of Justice charged a North Korean national with involvement in both WannaCry and the Sony breach.",https://blog.malwarebytes.com/threat-analysis/2019/03/the-advanced-persistent-threat-files-lazarus-group/
Leafminer,Raspite,IRAN,,"energy, financial institutions, government & defense, transportation","EGYPT,SAUDI ARABIA, ISRAEL, KUWAIT, LEBANON,UNITED STATES, QATAR, UNITED ARAB EMIRATES,KUWAIT,IRAN,AZERBAIJAN,AFGHANISTAN","imecab, lazagne, phpspy, mimikatz","Symantec has uncovered the operations of a threat actor named Leafminer that is targeting a broad list of government organizations and business verticals in various regions in the Middle East since at least early 2017. The group tends to adapt publicly available techniques and tools for their attacks and experiments with published proof-of-concept exploits. Leafminer attempts to infiltrate target networks through various means of intrusion: watering hole websites, vulnerability scans of network services on the internet, and bruteforce/dictionary login attempts. The actor’s post-compromise toolkit suggests that the group is looking for email data, files, and database servers on compromised target systems. (Dragos) Analysis of Raspite tactics, techniques, and procedures (TTPs) indicate the group has been active in some form since early- to mid-2017. Raspite targeting includes entities in the US, Middle East, Europe, and East Asia. Operations against electric utility organizations appear limited to the US at this time. Raspite leverages strategic website compromise to gain initial access to target networks. Raspite uses the same methodology as Berserk Bear, Dragonfly 2.0 and Allanite in embedding a link to a resource to prompt an SMB connection, from which it harvests Windows credentials. The group then deploys install scripts for a malicious service to beacon back to Raspite -controlled infrastructure, allowing the adversary to remotely access the victim machine.",https://www.symantec.com/blogs/threat-intelligence/leafminer-espionage-middle-east
Leviathan,"TEMP.Jumper, APT40, TEMP.Periscope,Bronze Mohawk,Mudcarp",CHINA,,"engineering, government & defense, manufacturing, research institute, shipping & logistics, transportation","BELGIUM, CAMBODIA, GERMANY, HONG KONG, MALAYSIA, NORWAY PHILIPPINES, SAUDI ARABIA, SWITZERLAND, UNITED STATES,UNITED KINGDOM","airbreak, badflick, beacon, bitsadmin, blackcoffee, china chopper, cobalt strike, derusbi, gh0st rat, grillmark, homefry, lunchmoney, murkytop, nanhaishu, orz, photo, plugx, scanbox, sedll, windows credential editor, zxshell"," FireEye is highlighting a cyber espionage operation targeting crucial technologies and traditional intelligence targets from a China-nexus state sponsored actor we call APT40. The actor has conducted operations since at least 2013 in support of China’s naval modernization effort. The group has specifically targeted engineering, transportation, and the defense industry, especially where these sectors overlap with maritime technologies. More recently, we have also observed specific targeting of countries strategically important to the Belt and Road Initiative including Cambodia, Belgium, Germany, Hong Kong, Philippines, Malaysia, Norway, Saudi Arabia, Switzerland, the United States, and the United Kingdom. This China-nexus cyber espionage group was previously reported as TEMP.Periscope and TEMP.Jumper.",https://www.fireeye.com/blog/threat-research/2019/03/apt40-examining-a-china-nexus-espionage-actor.html
Lotus Blossom,"DRAGONFISH, Spring Dragon, Dragonfish",CHINA,State-sponsored,"higher education, government & defense, telecommunications","BRUNEI, CAMBODIA, HONG KONG, INDONESIA, JAPAN, LAOS, MALAYSIA, MYANMAR, PHILIPPINES, SINGAPORE, TAIWAN, THAILAND,VIETNAM","elise, emissary","Spring Dragon is a long running APT actor that operates on a massive scale. The group has been running campaigns, mostly in countries and territories around the South China Sea, since as early as 2012. The main targets of Spring Dragon attacks are high profile governmental organizations and political parties, education institutions such as universities, as well as companies from the telecommunications sector. Spring Dragon is known for spear phishing and watering hole techniques and some of its tools have previously been analyzed and reported on by security researchers, including Kaspersky Lab.",https://securelist.com/spring-dragon-updated-activity/79067/
Machete,El Machete,UNKNOWN,,"diplomatic/embassies, government & defense, telecommunications","ARGENTINA, BELGIUM, BOLIVIA, BRAZIL, CANADA, CHINA, COLOMBIA, CUBA, DOMINICAN REPUBLIC, ECUADOR, FRANCE, GERMANY, GUATEMALA, MALAYSIA, NICARAGUA, MEXICO, SOUTH KOREA, SPAIN, PERU, RUSSIA, SPAIN, SWEDEN, UNITED KINGDOM, UNITED STATES,VENEZUELA",machete,"“Machete” is a targeted attack campaign with Spanish speaking roots. We believe this campaign started in 2010 and was renewed with an improved infrastructure in 2012. The operation may be still “active”. The malware is distributed via social engineering techniques, which includes spearphishing emails and infections via Web by a fake Blog website. We have found no evidence of exploits targeting zero-day vulnerabilities. Both the attackers and the victims appear to be Spanish-speaking.",https://securelist.com/el-machete/66108/
Magic Hound,"Rocket Kitten, Operation Saffron Rose, Ajax Security Team, Operation Woolen-Goldfish, Newscaster, Cobalt Gypsy, APT35, TEMP .Beanie, Timberworm, Tarh Andishan",IRAN,State-sponsored,"energy, government & defense, it & electronics","AFGHANISTAN, CANADA, EGYPT, IRAN, IRAQ, ISRAEL, JORDAN, KUWAIT, MOROCCO, PAKISTAN, SAUDI ARABIA, SPAIN, SYRIA, TURKEY, UNITED ARAB EMIRATES, UNITED KINGDOM, VENEZUELA,YEMEN","cwoolger, disttrack, filemalv, ghambar, ghole, havij, leash, matryoshka rat, mimikatz, mpkbot, netwoolger, pupyrat, sqlmap, tdtess, woolger","Magic Hound is an Iranian-sponsored threat group operating primarily in the Middle East that dates back as early as 2014. The group behind the campaign has primarily targeted organizations in the energy, government, and technology sectors that are either based or have business interests in Saudi Arabia. This group appears to be the evolvement of Covellite",https://www.trendmicro.de/cloud-content/us/pdfs/security-intelligence/white-papers/wp-the-spy-kittens-are-back.pdf
menuPass,"Stone Panda, APT10, Red Apollo, CVNX, HOGFISH",CHINA,"Tianjin State Security Bureau, a provincial bureau of the Ministry of State Security","aviation & aerospace, government & defense, healthcare, pharmaceutical","AUSTRALIA, BRAZIL, CANADA, FINLAND, FRANCE, GERMANY, INDIA, JAPAN, NETHERLANDS, NORWAY, PHILIPPINES, SOUTH AFRICA, SOUTH KOREA, SWEDEN, SWITZERLAND, THAILAND, UNITED ARAB EMIRATES, UNITED KINGDOM, UNITED STATES","anel, bugjuice, certutil, chches, cobalt strike, emdivi, evilgrab, haymaker, impacket, mimikatz, plugx, poison ivy, powersploit, pwdump, quasarrat, redleaves, snugride, trochilus rat, uppercut","menuPass is a threat group that appears to originate from China and has been active since approximately 2009. The group has targeted healthcare, defense, aerospace, and government sectors, and has targeted Japanese victims since at least 2014. In 2016 and 2017, the group targeted managed IT service providers, manufacturing and mining companies, and a university.",https://www.fbi.gov/news/stories/chinese-hackers-indicted-122018
Moafee,,CHINA,Guandong Province,government & defense,"UNITED STATES, VIETNAM, MALAYSIA, BRUNEI, PHILIPPINES","htran, mongall, newct2, nflog, poison ivy","Moafee is a threat group that appears to operate from the Guandong Province of China. Due to overlapping TTPs, including similar custom tools, Moafee is thought to have a direct or indirect relationship with the threat group DragonOK. (FireEye) The attack group “Moafee” (named after their command and control infrastructure) appears to operate out of the Guangdong province in China and is known to target the governments and military organizations of countries with national interests in the South China Sea. The seas in this region have multiple claims of sovereignty and hold high significance, as it is the second busiest sealane in the world and are known to be rich in resources such as rare earth metals, crude oil, and natural gas. We have also observed the Moafee group target organizations within the US defense industrial base.",https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-operation-quantum-entanglement.pdf
Molerats,"Operation Molerats, Gaza Cybergang, Extreme Jackal, Gaza Hackers Team",GAZA,HAMAS,"aviation & aerospace, diplomatic/embassies, financial institutions, government & defense, mining,oil & gas, journalists, software & game development","CHINA, EGYPT, IRAN, IRAQ, ISRAEL, JORDAN, LATVIA, LIBYA, MACEDONIA, NEW ZEALAND, PALESTINE, SAUDI ARABIA, SLOVENIA, TURKEY, UNITED ARAB EMIRATES, UNITED KINGDOM, UNITED STATES,YEMEN","dustysky, molerat loader, ned worm, njrat, poison ivy, scote, xtremerat","The Gaza cybergang is an Arabic-language, politically-motivated cybercriminal group, operating since 2012 and actively targeting the MENA (Middle East North Africa) region. The Gaza cybergang’s attacks have never slowed down and its typical targets include government entities/embassies, oil and gas, media/press, activists, politicians, and diplomats. One of the interesting new facts, uncovered in mid-2017, is its discovery inside an oil and gas organization in the MENA region, infiltrating systems and pilfering data, apparently for more than a year.",https://securelist.com/gaza-cybergang-updated-2017-activity/82765/
MuddyWater,"Seedworm, TEMP.Zagros, Static Kitten",IRAN,,"higher education, hospitality & retail, casinos & gaming, government & defense, it & electronics, media & entertainment, ngo/npo & think tanks, mining,oil & gas, telecommunications, transportation","AFGHANISTAN, ARMENIA, BAHRAIN, BELARUS, EGYPT, GEORGIA, INDIA, IRAQ,ISRAEL, JORDAN, LEBANON, MALI, NETHERLANDS, OMAN, PAKISTAN, RUSSIA, SAUDI ARABIA,TAJIKISTAN, TUNISIA, TURKEY, UNITED ARAB EMIRATES, UNITED KINGDOM,UNITED STATES","chromecookiesview, chrome-passwords, cloudstats, crackmapexec, delphstats, empireproject, fruityc2, koadic, lazagne, meterpreter, mimikatz, mzcookiesview, powersploit, powerstats, sharpstats, shoorback, smbmap","MuddyWater is an APT group that has been active throughout 2017, targeting victims in Middle East with in-memory vectors leveraging on Powershell, in a family of attacks now identified as “Living off the land”, as they don’t require the creation of new binaries on the victim’s machine, thus maintaining a low detection profile and a low forensic footprint. The operators behind MuddyWater are likely espionage motivated, we derive this information from the analysis of data and backdoors behaviors. We also find that despite the strong preponderance of victims from Pakistan, the most active targets appear to be in: Saudi Arabia, UAE and Iraq. Amongst the victims we identify a variety of entities with a stronger focus at Governments, Telcos and Oil companies. By tracking the operations we finally figure out that the originating country is likely to be Iran, while it remains harder to ascertain whether MuddyWater is state sponsored or a criminal organization incline to espionage.",https://reaqta.com/2017/11/muddywater-apt-targeting-middle-east/
Naikon,Lotus Panda,CHINA,Chinese Peoples Liberation Armys (PLA) Chengdu Military Region Second Technical Reconnaissance Bureau (Military Unit Cover Designator 78020,"energy, government & defense, law enforcement, media & entertainment","CAMBODIA, CHINA, INDIA, INDONESIA, LAOS, MALAYSIA, MYANMAR, NEPAL, PHILIPPINES, SAUDI ARABIA, SINGAPORE, SOUTH KOREA, THAILAND, UNITED STATES,VIETNAM","hdoor, naikon, jaderat, newcore rat, plugx, rarstone, sisfader, sslmm, sys10, systeminfo, tasklist, teamviewer, winmm, xsplus","Naikon is a threat group that has focused on targets around the South China Sea. The group has been attributed to the Chinese People’s Liberation Army’s (PLA) Chengdu Military Region Second Technical Reconnaissance Bureau (Military Unit Cover Designator 78020). While Naikon shares some characteristics with APT 30, the two groups do not appear to be exact matches",https://securelist.com/the-chronicles-of-the-hellsing-apt-the-empire-strikes-back/69567/
Neodymium,,UNKNOWN,,,TURKEY,wingbird,"Neodymium is an activity group that conducted a campaign in May 2016 and has heavily targeted Turkish victims. The group has demonstrated similarity to another activity group called Promethium due to overlapping victim and campaign characteristics. Neodymium is reportedly associated closely with BlackOasis operations, but evidence that the group names are aliases has not been identified. (Microsoft) Neodymium is an activity group that is known to use a backdoor malware detected by Microsoft as Wingbird. This backdoor’s characteristics closely match FinFisher, a government-grade commercial surveillance package. Data about Wingbird activity indicate that it is typically used to attack individual computers instead of networks.",https://www.microsoft.com/security/blog/2016/12/14/twin-zero-day-attacks-promethium-and-neodymium-target-individuals-in-europe/
Night Dragon,,CHINA,,"energy, mining,oil & gas, chemical & petrochemical","GREECE, KAZAKHSTAN, NETHERLANDS, TAIWAN,UNITED STATES","aspxspy, cain & abel, gsecdump, zwshell","Starting in November 2009, coordinated covert and targeted cyberattacks have been conducted against global oil, energy, and petrochemical companies. These attacks have involved social engineering, spear-phishing attacks, exploitation of Microsoft Windows operating systems vulnerabilities, Microsoft Active Directory compromises, and the use of remote administration tools (RATs) in targeting and harvesting sensitive competitive proprietary operations and projectfinancing information with regard to oil and gas field bids and operations. Attackers using several locations in China have leveraged C&C servers on purchased hosted services in the United States and compromised servers in the Netherlands to wage attacks against global oil, gas, and petrochemical companies, as well as individuals and executives in Kazakhstan, Taiwan, Greece, and the United States to acquire proprietary and highly confidential information. The primary operational technique used by the attackers comprised a variety of hacker tools, including privately developed and customized RAT tools that provided complete remote administration capabilities to the attacker. RATs provide functions similar to Citrix or Microsoft Windows Terminal Services, allowing a remote individual to completely control the affected system. To deploy these tools, attackers first compromised perimeter security controls, through SQL-injection exploits of extranet web servers, as well as targeted spear-phishing attacks of mobile worker laptops, and compromising corporate VPN accounts to penetrate the targeted company’s defensive architectures (DMZs and firewalls) and conduct reconnaissance of targeted companies’ networked computers.",https://securingtomorrow.mcafee.com/wp-content/uploads/2011/02/McAfee_NightDragon_wp_draft_to_customersv1-1.pdf
OilRig,"IRN2, HELIX KITTEN, APT34, Twisted Kitten, Crambus, Chrysene",IRAN,State-sponsored,"chemical & petrochemical, energy, financial institutions, government & defense, telecommunications","IRAQ, ISRAEL, KUWAIT, LEBANON, PAKISTAN, QATAR, SAUDI ARABIA, TURKEY, UNITED ARAB EMIRATES, UNITED KINGDOM,UNITED STATES","farfli, pcclient, poison ivy, spindest","OilRig is a threat group with suspected Iranian origins that has targeted Middle Eastern and international victims since at least 2014. The group has targeted a variety of industries, including financial, government, energy, chemical, and telecommunications, and has largely focused its operations within the Middle East. It appears the group carries out supply chain attacks, leveraging the trust relationship between organizations to attack their primary targets. FireEye assesses that the group works on behalf of the Iranian government based on infrastructure details that contain references to Iran, use of Iranian infrastructure, and targeting that aligns with nation-state interests. This group was previously tracked under two distinct groups, APT 34 and OilRig, but was combined due to additional reporting giving higher confidence about the overlap of the activity. OilRig seems to be closely related to APT 33, Elfin.",https://unit42.paloaltonetworks.com/unit42-striking-oil-closer-look-adversary-infrastructure/
Orangeworm,,UNKNOWN,,"healthcare, manufacturing, it & electronics, pharmaceuticals","BELGIUM, BRAZIL, CANADA, CHILE, CHINA, FRANCE, GERMANY, HONG KONG, HUNGARY, INDIA, MALAYSIA, NETHERLANDS, NORWAY, PHILIPPINES, POLAND, SAUDI ARABIA, SPAIN, SWEDEN, SWITZERLAND, TURKEY, UNITED KINGDOM,UNITED STATES","kwampirs, systeminfo","Symantec has identified a previously unknown group called Orangeworm that has been observed installing a custom backdoor called Trojan.Kwampirs within large international corporations that operate within the healthcare sector in the United States, Europe, and Asia. First identified in January 2015, Orangeworm has also conducted targeted attacks against organizations in related industries as part of a larger supply-chain attack in order to reach their intended victims. Known victims include healthcare providers, pharmaceuticals, IT solution providers for healthcare and equipment manufacturers that serve the healthcare industry, likely for the purpose of corporate espionage. Based on the list of known victims, Orangeworm does not select its targets randomly or conduct opportunistic hacking. Rather, the group appears to choose its targets carefully and deliberately, conducting a good amount of planning before launching an attack. According to Symantec telemetry, almost 40 percent of Orangeworm’s confirmed victim organizations operate within the healthcare industry. The Kwampirs malware was found on machines which had software installed for the use and control of high-tech imaging devices such as X-Ray and MRI machines. Additionally, Orangeworm was observed to have an interest in machines used to assist patients in completing consent forms for required procedures. The exact motives of the group are unclear",https://www.symantec.com/blogs/threat-intelligence/orangeworm-targets-healthcare-us-europe-asia
Patchwork,"Dropping Elephant, Chinastrats, APT-C-09, Monsoon, Quilted Tiger",INDIA,,"aviation & aerospace, energy, financial institutions, government & defense, it & electronics, media & entertainment, pharmaceutical, ngo/npo & think tanks","CHINA, JAPAN, UNITED KINGDOM, UNITED STATES, BANGLADESH, SRI LANKA,PAKISTAN","androrat, autoit backdoor, badnews, bahamut, mazerunner, ndiskmonitor, powersploit, quasarrat, sarit, socksbot, steladoc, tinytyphon wscspl","Patchwork is a targeted attack that has infected an estimated 2,500 machines since it was first observed in December 2015. There are indications of activity as early as 2014, but Cymmetria has not observed any such activity first hand. Patchwork targets were chosen worldwide with a focus on personnel working on military and political assignments, and specifically those working on issues relating to Southeast Asia and the South China Sea. Many of the targets were governments and government-related organizations. The code used by this threat actor is copy-pasted from various online forums, in a way that reminds us of a patchwork quilt –hence the name we’ve given the operation. In active victim systems, Patchwork immediately searches for and uploads documents to their C&C, and only if the target is deemed valuable enough, proceeds to install a more advanced second stage malware. This group seems to be associated with Confucius.",https://s3-us-west-2.amazonaws.com/cymmetria-blog/public/Unveiling_Patchwork.pdf
PittyTiger,"Pitty Panda, Manganese",CHINA,,"government & defense, telecommunications, software & game development",TAIWAN,"gh0st rat, gsecdump, lurid, mimikatz, paladin, pgift, pitty, poison ivy","Pitty Tiger is a group of attackers that have been active since at least 2011. They have targeted private companies in several sectors, such as defense and telecommunications, but also at least one government. We have been able to track down this group of attackers and can provide detailed information about them. We were able to collect and reveal their “malware arsenal”. We also analyzed their technical organization. Our investigations indicate that Pitty Tiger has not used any 0day vulnerability so far, rather they prefer using custom malware, developed for the group’s exclusive usage. Our discoveries indicate that Pitty Tiger is a group of attackers with the ability to stay under the radar, yet still not as mature as other groups of attackers we monitor. Pitty Tiger is probably not a state-sponsored group of attackers. They lack the experience and financial support that one would expect from state-sponsored attackers. We suppose this group is opportunistic and sells its services to probable competitors of their targets in the private sector. We have been able to leverage several attackers profiles, showing that the Pitty Tiger group is fairly small compared to other APT groups, which is probably why we saw them work on a very limited amount of targets.",
PLATINUM,TwoForOne,CHINA,,"government & defense, government & defense, telecommunications","CHINA, INDIA, INDONESIA, MALAYSIA, SINGAPORE,THAILAND","adbupd, amtsol, dipsind, jpin","Platinum has been targeting its victims since at least as early as 2009, and may have been active for several years prior. Its activities are distinctly different not only from those typically seen in untargeted attacks, but from many targeted attacks as well. A large share of targeted attacks can be characterized as opportunistic: the activity group changes its target profiles and attack geographies based on geopolitical seasons, and may attack institutions all over the world. Like many such groups, Platinum seeks to steal sensitive intellectual property related to government interests, but its range of preferred targets is consistently limited to specific governmental organizations, defense institutes, intelligence agencies, diplomatic institutions, and telecommunication providers in South and Southeast Asia. The group’s persistent use of spear-phishing tactics (phishing attempts aimed at specific individuals) and access to previously undiscovered zero-day exploits have made it a highly resilient threat.",https://download.microsoft.com/download/2/2/5/225BFE3E-E1DE-4F5B-A77B-71200928D209/Platinum%20feature%20article%20-%20Targeted%20attacks%20in%20South%20and%20Southeast%20Asia%20April%202016.pdf
Poseidon Group,,PORTUGAL/BRAZIL,,"energy, financial institutions, government & defense, media & entertainment, manufacturing, telecommunications, utilities","BRAZIL, FRANCE, INDIA, KAZAKHSTAN, RUSSIA, UNITED ARAB EMIRATES,UNITED STATES",igt supertool,"During the latter part of 2015, Kaspersky researchers from GreAT (Global Research and Analysis Team) got hold of the missing pieces of an intricate puzzle that points to the dawn of the first Portuguese-speaking targeted attack group, named “Poseidon.” The group’s campaigns appear to have been active since at least 2005, while the very first sample found points to 2001. This signals just how long ago the Poseidon threat actor was already working on its offensive framework. The Poseidon Group is a long-running team operating on all domains: land, air, and sea. They are dedicated to running targeted attacks campaigns to aggressively collect information from company networks through the use of spear-phishing packaged with embedded, executable elements inside office documents and extensive lateral movement tools. The information exfiltrated is then leveraged by a company front to blackmail victim companies into contracting the Poseidon Group as a security firm. Even when contracted, the Poseidon Group may continue its infection or initiate another infection at a later time, persisting on the network to continue data collection beyond its contractual obligation. The Poseidon Group has been active, using custom code and evolving their toolkit since at least 2005. Their tools are consistently designed to function on English and Portuguese systems spanning the gamut of Windows OS, and their exfiltration methods include the use of hijacked satellite connections. Poseidon continues to be active at this time",https://securelist.com/poseidon-group-a-targeted-attack-boutique-specializing-in-global-cyber-espionage/73673/
PROMETHIUM,StrongPity,TURKEY,,,"TURKEY,COLOMBIA,INDIA,CANADA,VIETNAM",truvasys,"Promethium is an activity group that has been active since at least 2012. The group conducted a campaign in May 2016 and has heavily targeted Turkish victims. Promethium has demonstrated similarity to another activity group called Neodymium due to overlapping victim and campaign characteristics. (Microsoft) Promethium is an activity group that has been active as early as 2012. The group primarily uses Truvasys, a first-stage malware that has been in circulation for several years. Truvasys has been involved in several attack campaigns, where it has masqueraded as one of server common computer utilities, including WinUtils, TrueCrypt, WinRAR, or SanDisk. In each of the campaigns, Truvasys malware evolved with additional features—this shows a close relationship between the activity groups behind the campaigns and the developers of the malware.",https://www.microsoft.com/security/blog/2016/12/14/twin-zero-day-attacks-promethium-and-neodymium-target-individuals-in-europe/
Putter Panda,"APT2, MSUpdater, Group 36, Sulphur, TG-6952",CHINA,Unit 61486 of the 12th Bureau of the PLAs 3rd General Staff Department (GSD),"government & defense, research institute, aviation & aerospace","UNITED STATES,JAPAN","3para rat, 4h rat, httpclient, msupdater, pngdowner, searchfire","Putter Panda is the name of bad actor responsible for a series of cyberespionage operations originating in Shanghai, security experts linked its operation to the activity of the People’s Liberation Army 3rd General Staff Department 12th Bureau Unit 61486. A fake yoga brochure was one of different emails used for a spear-phishing campaign conducted by the stealth Chinese cyber unit according an investigation conducted by researchers at the CrowdStrike security firm. Also in this case the experts believe that we are facing with a large scale cyberespionage campaign targeting government entities, contractors and research companies in Europe, USA and Japan. The group has been operating since at least 2007 and appears very interested in research companies in the space and satellite industry, experts at CrowdStrike have collected evidence of a numerous attacks against these industries.",https://cdn0.vox-cdn.com/assets/4589853/crowdstrike-intelligence-report-putter-panda.original.pdf
Rancor,Rancor Group,CHINA,,government & defense,"JAPAN,CAMBODIA,SINGAPORE","certutil, ddkong, plaintee","Throughout 2017 and 2018 Unit 42 has been tracking and observing a series of highly targeted attacks focused in South East Asia, building on our research into the KHRAT Trojan. Based on the evidence, these attacks appear to be conducted by the same set of attackers using previously unknown malware families. In addition, these attacks appear to be highly targeted in their distribution of the malware used, as well as the targets chosen. Based on these factors, Unit 42 believes the attackers behind these attacks are conducting their campaigns for espionage purposes. We believe this group is previously unidentified and therefore have we have dubbed it “Rancor”. The Rancor group’s attacks use two primary malware families which we describe in depth later in this blog and are naming DDKONG and PLAINTEE. DDKONG is used throughout the campaign and PLAINTEE appears to be new addition to these attackers’ toolkit.",https://unit42.paloaltonetworks.com/unit42-rancor-targeted-attacks-south-east-asia-using-plaintee-ddkong-malware-families/
Roaming Mantis,Roaming Mantis Group,CHINA,,software & game development,"SOUTH KOREA,JAPAN,CHINA,TAIWAN,FRANCE,SWITZERLAND,GERMANY,UNITED KINGDOM, UNITED STATES","fakespy, fakecop, funkybot","Our analysis shows that the threat actor behind the FakeSpy malware is a Chinese-speaking group, commonly referred to as ""Roaming Mantis"", a group that is known to have launched similar campaigns in the past. FakeSpy is an information stealer that exfiltrates and sends SMS messages, steals financial and application data, reads account information and contact lists, and more.",https://malpedia.caad.fkie.fraunhofer.de/actor/roaming_mantis
